Delegate To,Stacker,Amount,Txid,Date
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SPJBAY6HPM962WX9NBH2E0J8222VTC6SYDQKYA6Z,101553884,0xdc4e8c0da58ebb2034f2aeb060ccc41c08de36e0699f182b94ca3604df070917,12/21/2024 5:42:46 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SP1BZVK3HQZXDXSRZK9AS5YNBN7DHBQBBTBQ0DHMY,100000000,0xad634e50b2378a0b5e10ac4732e8317725a1e184ae15a5e9370491a77afb0911,12/21/2024 5:42:46 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SP3D21GBDBN750Y374JT5JK0J02WPPEHPAMA8SPW5,300000000,0xc08164c84b75080d5ed1c5480516da3876a4513df29bf6233d0265d662967ac8,12/21/2024 5:31:08 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SPFGVND1JWCMFVA343BGRRS15XR9RSZQ0R6YBF16,131526032,0x33aa7a4b3d14c00925285b68c04196eefeccfe19ec3612c50a00fe56a37514dc,12/21/2024 4:52:12 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SP5JZ28063YGJFSVMQ4B1ZAWTA3ZX12CR3AQGJ4G,3016167959,0xbfd2e07b5e456daed144bf5e288220d619e698a560e3b949300cfcd63cc73f2a,12/21/2024 4:52:12 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SP2VQRS3HPGTDB68WAJS24SDT139N8KEVGHWA8TX4,101000000,0x02372a77395f23609aee9fada9d28762f78d4a10287515bfb85daa479a7bb19b,12/21/2024 4:11:07 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SP3ZYKQ2B5RCY56SXE6QCCKHCC71TPJVVGS2X1Y7W,2009032917,0xebfbc78eda84d36e42418988e868a5e4dbed3ab7289ebecb730c3a91a2b65b07,12/21/2024 4:04:24 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SP1MNP10GRXM9127TRCK8EYXPCCK25E6CSE33AQ2Z,100000000,0x54100430949069ec5cf37dfecb196dec187959003259ae43736e097dd5d86360,12/21/2024 3:33:50 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SPSWQ4V39XAZ7F24MKDNFV7K78ZZDBPDCPF99K8D,115000000,0xa9a8b7f72e842773d64b139eaad45faff87a4ac37dc0298143537cbc25a22096,12/21/2024 3:33:50 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SM3KNVZS30WM7F89SXKVVFY4SN9RMPZZ9FX929N0V.xverse-v2-member5,1000000,0x8deed186d679a49402d40affe554218ce5bb6bcb4dbc782502f023f16f40d2fb,12/21/2024 3:33:50 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SM3KNVZS30WM7F89SXKVVFY4SN9RMPZZ9FX929N0V.xverse-v2-member4,0,0x8deed186d679a49402d40affe554218ce5bb6bcb4dbc782502f023f16f40d2fb,12/21/2024 3:33:50 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SM3KNVZS30WM7F89SXKVVFY4SN9RMPZZ9FX929N0V.xverse-v2-member3,0,0x8deed186d679a49402d40affe554218ce5bb6bcb4dbc782502f023f16f40d2fb,12/21/2024 3:33:50 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SM3KNVZS30WM7F89SXKVVFY4SN9RMPZZ9FX929N0V.xverse-v2-member2,0,0x8deed186d679a49402d40affe554218ce5bb6bcb4dbc782502f023f16f40d2fb,12/21/2024 3:33:50 AM
SPXVRSEH2BKSXAEJ00F1BY562P45D5ERPSKR4Q33,SM3KNVZS30WM7F89SXKVVFY4SN9RMPZZ9FX929N0V.xverse-v2-member1,1000000,0x8deed186d679a49402d40affe554218ce5bb6bcb4dbc782502f023f16f40d2fb,12/21/2024 3:33:50 AM
