Public Key,Stacks Address,Stacked Amount,Weight
0215245613e31de2ec2e7f2c4facb45724be2e49d9d42abb0a5e571322593b36bf,SP39DSWRVSCSJFNVVT6HXEKS17ZC9Y9VXVWH328M7,6000000000000,54
022150d4ea6dc60e75e162455553a92adea0a0f3000c192cc55d0bffed22c0a8e0,SP19YS2TFA742GVDDDX7ZG752MD09TBSR5Q4J95YG,120000000000,1
02254a34747123978819f2a90506f76cb057fe3fbff6d8721a0d9cf8e9412d0e60,SP1P6DQJTQK0BNDAYVJRC7QR78E9AGMR2VX3BXZQN,327626000000,2
02292037d39e7e86b087935d48364ccc0fab52821b8487a78ee936bd1c1d0cd8d1,SP229NBJSTP554KQ2HMSFFYPF6FMCEP1WCPM3B0RM,3051000000000,27
023d6ecdc36fa1e1c6a9f116c7f13ae843001ed9d617f66f6c68cabf751bf82555,SPS1NGSQ2QB89NF8T37M4Z6SGNBPYS66VXTXJ63Z,52821543193990,480
0244869db071d334ff8e5cd94956ae7b60a4abd41f83f3c9d66ab314718151d94d,SPVH2V0XQ7WGHPNZ5NNNMWFXXFSZEYEJ2ECG7NM8,6000000000000,54
024f164c6e73df283d34d7d9cc86553a82dce76045ba7dfbf4de0004f89eabb8e0,SP1VTA9RRQA8FS9KSGGB6PAG89VDSPEYRY74JZASC,120000000000,1
025588e24e2bf387fe8cc7bccba1aac7fe599b96724892431e992a40d06e8fe220,SP2JMM827KCXPB931MGKVJ5GVF3K4VDCBMW5CJ0ES,3150000000000,28
025f9fd3d308e7306e154d9a5466a5aee6918258cdb08924ade59bea04f472b339,SP39Z8VFSEHQH4XCF4QSRD2WHDYV91WDXNE8CRRE5,120000000000,1
0268e6f499fca2912488e89fc8b6734cafbe24a4ecbcd3312e4eb27ed8e5cfb4f3,SP1EZ3CW1HXXP4S2C0SM3D2N5PFSHJ9BTN9BZHT5D,950000000000,8
027af6b78b484b2c129dab7e490e8438f9a6eb4890071335a5781d483073866b9a,SP893MPT9JFE2YHM05RW1MHW8C2BAKQM7ZABBJ61,2700000000000,24
02844807121921880119fe05ae47fccb4945a4bb2f840fe7de66e6f32640bc8169,SP1MNXH028EM3PPTB01K91XFH9PGRFAZ2VRPPDA11,950000000000,8
02877ce29ba35458b827a6ea18510b9058ae4c30e2c33d288f2982c13497caec6e,SP3WEKWTCJ2FXTMAQK674GHEWTJKPP6KFH0D38T7S,115729763301589,1052
02879477ec9ed8a56c0b26ba4b452246608d6e1b02ae1fa405a2c97ee8af5da202,SP18HC2MFXMZX4EYX5QAKEPF10AY3CJVHMAPZF9QY,49000000000000,445
029e1245f007bd8f76d5ce67e759acd21f8b0f2538a80713468f7524bf3fff6136,SP10ZWZTN6MZ1R0XW9P7J4S18WQYE61CX5E1N7VRN,6125050000000,55
02a89cb3164d3dabcb5cf8796bfc28b91fade8c71a64b5a76d94e79cd27cfa8895,SP34SBCRRDQYGCMRFNXQFMJBRJA7TFGAB24KZK2G7,10000000000000,90
02b20a0603a409270d4421d89a831e8f7b2fa7c5f2d8872d7aa94737334d10c194,SP21D772555WTBJWZJS49S1NG0AFHX3S4B0HM2W36,125000000000,1
02c3411edce624db1371802ded43148f74e2ce052bf8d1ce0ce619df1ea919e279,SP1BDPY7NF7DY5X8756G2N00M3YCD72F9NBXT562T,125007000000,1
02c54d8b1ba4b7207f78f861c60f8a67433c264a11ac9b6b7773476e9f6c008e49,SP2PHDHWTRNNNHW3SFXWCAD1RADKMC1H6G03XG6QJ,2600000000000,23
